metric,arm,n,mean,ci_low,ci_high,type
spontaneous_confab,baseline,29,1.0,0.8830302015002592,1.0,proportion
spontaneous_confab,fact_table,30,0.9666666666666667,0.8332960900859081,0.9940914096183875,proportion
spontaneous_confab,belief_audit,30,1.0,0.8864866068260311,1.0,proportion
in_thread_persistence,baseline,29,0.5862068965517241,0.4073783598787859,0.7448682265867761,proportion
in_thread_persistence,fact_table,30,0.8333333333333334,0.6643564949358397,0.9266345762815146,proportion
in_thread_persistence,belief_audit,30,0.9,0.7437891742081592,0.9654001112526659,proportion
blame_shift_flag,baseline,29,0.3793103448275862,0.2268802210080984,0.559974557940115,proportion
blame_shift_flag,fact_table,30,0.3,0.16664748268243793,0.4787578745871496,proportion
blame_shift_flag,belief_audit,30,0.03333333333333333,0.005908590381612455,0.16670390991409176,proportion
correction_latency_turn,baseline,29,4.137931034482759,3.2268592244458136,5.049002844519704,continuous
correction_latency_turn,fact_table,29,3.310344827586207,2.5017277406153338,4.1189619145570795,continuous
correction_latency_turn,belief_audit,29,5.655172413793103,5.0079156947053205,6.302429132880886,continuous
