model,arm,n,confab_rate,confab_ci,persist_rate,persist_ci,latency_mean,latency_std,blame_mean,blame_std
anthropic:claude-3-5-haiku-latest,baseline,10,1.0,"[72.25%, 100.00%]",0.7,"[39.68%, 89.22%]",6.8,1.0327955589886446,0.0,0.0
anthropic:claude-3-5-haiku-latest,belief_audit,10,1.0,"[72.25%, 100.00%]",1.0,"[72.25%, 100.00%]",5.8,1.1352924243950933,0.0,
anthropic:claude-3-5-haiku-latest,fact_table,10,0.9,"[59.58%, 98.21%]",0.9,"[59.58%, 98.21%]",5.2,2.3475755815545347,0.0,0.0
anthropic:claude-3-5-haiku-latest,grounding_pilot,10,1.0,"[72.25%, 100.00%]",1.0,"[72.25%, 100.00%]",2.6,1.8973665961010278,0.0,0.0
google:gemini-2.0-flash,baseline,9,1.0,"[70.09%, 100.00%]",0.7777777777777778,"[45.26%, 93.68%]",3.5555555555555554,2.4037008503093262,0.0,
google:gemini-2.0-flash,belief_audit,10,1.0,"[72.25%, 100.00%]",0.9,"[59.58%, 98.21%]",4.8,1.9321835661585915,,
google:gemini-2.0-flash,fact_table,10,1.0,"[72.25%, 100.00%]",0.6,"[31.27%, 83.18%]",2.0,0.0,,
google:gemini-2.0-flash,grounding_pilot,10,0.6,"[31.27%, 83.18%]",0.5,"[23.66%, 76.34%]",5.666666666666667,1.96638416050035,0.0,
openai:gpt-4o-mini,baseline,10,1.0,"[72.25%, 100.00%]",0.3,"[10.78%, 60.32%]",2.0,0.0,,
openai:gpt-4o-mini,belief_audit,10,1.0,"[72.25%, 100.00%]",0.8,"[49.02%, 94.33%]",6.444444444444445,1.9436506316151003,,
openai:gpt-4o-mini,fact_table,10,1.0,"[72.25%, 100.00%]",1.0,"[72.25%, 100.00%]",2.6,1.8973665961010278,,
openai:gpt-4o-mini,grounding_pilot,10,0.5,"[23.66%, 76.34%]",0.5,"[23.66%, 76.34%]",2.0,0.0,,
